post_title,post_content
行者AI美术,"<div class=""panel-body single my-4 "">

行者AI是由成都潜在人工智能科技有限公司开发的AI美术、音乐、视频工具箱，致力于使用人工智能和机器学习技术提高游戏和文娱行业的生产力，打造一个游戏行业从研发到营销的一站式AI赋能平台。而行者AI美术是行者AI推出的AI绘图创作解决方案，帮助用户激发灵感，创作更多可能。
<h2>行者AI美术的主要功能</h2>
<ol>
 	<li>AI 2D美术创作，支持输入文本描述即可智能生成图片、图标及将图像进行二次元风格的转化，让你轻松变身艺术大师，创作高质量画作</li>
 	<li>AI 3D减面，支持OBJ、TGT、MTL等格式的3D文件进行方形减面或三角减面，减轻模型的复杂度，提高渲染的速度和效率</li>
 	<li>AI模型训练，支持上传一定数量的图片，以自定义训练AI模型，塑造自己的风格，让画面更具个性</li>
</ol>
<h2>如何使用行者AI生成图片</h2>
<ol>
 	<li>访问行者AI的官网，点击顶部的<strong>AI美术</strong>菜单</li>
 	<li>页面会跳转到下方的AI绘画创作，点击<strong>立即体验</strong></li>
 	<li>登录/注册行者AI账号，登录成功后会自动跳转到工作台界面</li>
 	<li>点击左边侧边栏的<strong>美术</strong>选项，然后点击<strong>智能生图</strong></li>
 	<li>在右侧输入框中键入文本描述，选择你想要的创作风格、图片比例、图片质量、图片格式</li>
 	<li>最后点击右下角的<strong>开始生成</strong>按钮即可</li>
</ol>
<a class=""js"" href=""https://ai-bot.cn/wp-content/uploads/2023/06/xingzhe-ai-demo.png"" data-fancybox=""fancybox"" data-caption=""行者AI生成图片""><img class=""alignnone size-full wp-image-244"" src=""http://ai.thinkgs.cn/wp-content/uploads/2023/08/xingzhe-ai-demo.png"" alt="""" width=""800"" height=""475"" /></a>
<h2>行者AI美术的产品价格</h2>
用户注册行者AI之后，可以免费获得200的点数用于生成图片，普通画质的图片消耗4个点数，较好画质的图片消耗8个点数，极好画质的图片消耗16个点数，每天签到可以获得8个以上的点数。

</div>"
Stable Doodle,"Stable Doodle是Stability Al (Stable Diffusion背后的公司)最新推出的将手绘草图转换成精美图像的工具，无论你是专业人士，还是绘画爱好者，都可以借助Stable Doodle快速将简单的手绘稿变为现实，让你从灵魂画手变身艺术大师。

通过Stable Doodle任何具有基本绘图技能和访问在线网站的人都可以在几秒钟内生成高质量的原始图像，设计师、插画师和其他专业人士能够腾出宝贵的时间并最大限度地提高效率，以草图形式绘制的想法可以立即落地到作品中，为客户创建设计、为展示平台和网站创建物料、甚至创建LOGO标志。

目前Stable Doodle与最新的Stable Diffusion模型SDXL 0.9 -起都可以在Stability AI旗下的Clipdrop网站上免费试用。

Al工具集编辑随意画了3栋楼的轮廓，然后输入简单的skyscraper buildings提示词，下面生成的3张效果图还是不错的。

<img class=""alignnone size-full wp-image-248"" src=""http://ai.thinkgs.cn/wp-content/uploads/2023/08/stable-doodle-demo.png"" alt="""" width=""800"" height=""418"" />"
Canva AI图像生成,在线设计工具Canva推出的AI图像生成工具
Freepik AI Image Generator,"<div class=""panel-body single my-4 "">

<a class=""external"" href=""https://www.freepik.com/ai/image-generator?ref=ai-bot.cn"" target=""_blank"" rel=""noopener nofollow"">Freepik AI Image Generator</a>是由知名创意素材（视频、照片、插画等）网站Freepik最新推出的在线<a href=""https://ai-bot.cn/best-ai-image-generators/"">AI图片生成工具</a>，该AI图片生成器允许用户使用文字创建独特的图像，只需要在输入框中输入文本描述，就可以得到对应艺术风格的令人惊叹的图像。
<h2>Freepik AI Image Generator的主要功能</h2>
<ol>
 	<li>操作简单，任何人都可以输入想法释放创造独特图像的无限潜力，为艺术、设计和创造力开辟新的可能性</li>
 	<li>灵感参考，主页提供了系列不同风格的AI生成的图片，并附带相应的prompt提示词参考，帮助用户快速生成想要的图片</li>
 	<li>内置4种不同风格，写实照片、数字艺术、插画和3D风格的图片生成，都不在话下</li>
 	<li>图片二次编辑和加工，AI生成好的图片，可点击Edit Online对其进行在线编辑，如裁剪、翻转、旋转、添加文本/元素、修改对比度/亮度/饱和度等</li>
</ol>
<h2>如何使用Freepik AI Image Generator</h2>
<ol>
 	<li>访问Freepik AI Image Generator的官网</li>
 	<li>在输入框中输入你想要生成的图片描述，选择风格，点击Generate按钮</li>
 	<li>若没有登录注册会自动跳转到Freepik的登录界面</li>
 	<li>登录注册成功后，会自动进入到图片生成的界面，Freepik会默认生成4张备选的图片</li>
</ol>
<a class=""js"" href=""https://ai-bot.cn/wp-content/uploads/2023/06/freepik-ai-image-generator-demo.png"" data-fancybox=""fancybox"" data-caption=""Freepik AI Image Generator""><img class=""alignnone size-full wp-image-254"" src=""http://ai.thinkgs.cn/wp-content/uploads/2023/08/freepik-ai-image-generator-demo.png"" alt="""" width=""800"" height=""450"" /></a>
<h2>Freepik AI Image Generator的产品价格</h2>
Freepik AI Image Generator允许用户每日免费进行3次的图片生成，每次的生成会提供4张的备选图片方案。若你想要更多次数的图片生成，需要付费升级到Premium计划，按月付费每月8.99欧元，按年付费每年107.88欧元。Premium计划每天可进行10次的图片生成，除开AI图片生成外，还可以无限次数的下载Freepik平台上的资源素材。

</div>"
图查查,"<div class=""panel-body single my-4 "">

图查查是 360 旗下推出的一站式图片服务平台，在AI技术的驱动下，可以帮助用户轻松搞定作图，提供图片版权查询、高清版权图库、图片智能抠图、图片智能消除笔、<a href=""https://ai-bot.cn/free-ai-image-upscalers/"">图片无损放大</a>、文章智能配图等功能。
<h2>图查查的AI功能</h2>
<ul>
 	<li>图片智能抠图。此功能目前是免费开放的，可智能识别主体，自动删除背景，一键快速抠图。该<a href=""https://ai-bot.cn/ai-image-background-removers/"">AI抠图工具</a>最高分辨率支持达到10000*10000，提供自动抠图和点选抠图两种模式。</li>
 	<li>图片智能消除笔。在线图片去水印、去文字、去除一切无用元素。只需鼠标一划，便能智能抹除图片中不想要的物体。</li>
 	<li>图片无损放大。将上传的图片成倍放大，同时基于推断出的细节保持结果图像的清晰度，最高支持上传1280*1280分辨率的图片。</li>
 	<li>文章智能配图。在线文字段落智能插图，图文并茂更吸睛。只需输入文章关键词和文章正文内容，图查查便能智能给文字配图。</li>
</ul>
</div>"
DreamUp,DeviantArt推出的AI插画生成工具
getimg.ai,"getimg,.ai是一套神奇的人工智能图像工具，你可以通过该工具生成艺术画、虚拟头像和产品图片等，也可以修改照片和或创建自定义A模特，该工具允许用户每个月免费生成100张图片。"
Photosonic,"Photosonic是AI写作软件Witesonic推出的一款在线A图像和艺术画生成的应用，该工具使用先进的文本到图像人工智能模型，可以帮助你从任何文本描述中创建逼真或高品质的艺术插画。

Photosonic允许用户免费尝试使用10个图像生成积分，你可以使用这些学分从任何文本描述中创建20张高质量图像，你也可以通过与朋友共享Photosonic并邀请他们加入该应用程序来赚取更多积分。如果你想解锁无限制的图像生成并访问更多功能和设置，你可以以较低的月费或年费升级到高级订阅。"
美图抠图,美图抠图是由美图秀秀推出的智能A抠图工具，用户只需上传图片，便能一键快速去除图片背景。该工具支持全品类AI智能抠图，如人像、宠物、商品、图标等。除开抠图外，该工具还支持换背景、滤镜、改寸、边缘优化、投影、描边、画质修复等图片编辑功能。
Upscalepics,在线图片放大工具
PhotoAid Image Upscaler,PhotoAid出品的免费在线人工智能图片放大工具
VanceAI Image Resizer,VanceAI推出的在线图片尺寸调整工具
Facet,"Facet由Joe Reisinger和MattStanton创立，是一个照片和视频编辑器，使用人工智能技术提供加速编辑图像的各项信息。该技术可以学习整个照片拍摄的图像属性，并进行批量编辑，如删除所有图像的背景。

Facet是以品牌为客户而设计的，它的出现是为了让数字营销团队成员能够实时协作项目，并利用APlI随时在其他软件工具之间切换。"
Relight,ClipDrop推出的AI图像打光工具
Cutout.Pro Retouch,Cutout.Pro推出的AI图片物体涂抹去除工具
Neurodub,端到端的AI视频语音本地化工具
SteveAI,Animaker旗下AI在线视频制作工具
Pictory,AI视频制作工具
Elai.io,AI文本到视频生成工具
MindShow,MindShow是国内独立开发者开发的输入内容自动生成演示工具，帮你省去排版的烦恼，让想法快速展示。
auxi,"auxi是一款功能强大的微软PowerPoint的A]插件，该工具允许你输入文字来修改和编辑PPT。比如你可以输入指令，来增加间距、保存PPT、对齐、添加文本框等等。只需按下Ctrl+空格键，你便可以在输入框输入相应的指令来操作和编辑PPT。

该工具基于其专有的机器学习模型可在幻灯片右侧展示PPT设计建议，单击建议后，auwi便会帮助你自动将你的内容填充到所选的设计布局中。除此之外，该工具甚至还允许你将手绘的PPT草图转换为PowerPoint幻灯片!"
歌者AI,彩漩PPT推出的AI PPT生成工具
SlidesAI,"SlidesAl是一款用于创建专业且引人入胜的演示文稿的省时工具，可以自动化幻灯片的创建过程。只需鼠标点击几下，该AI PPT工具便可以将任何文本转换为视觉上吸引人的幻灯片，让你能够专注于真正重要的事情。

该A PT制作工具适合任何领域，无论你是在做营销展示，还是在会议上演讲，SilidesA都可以为你提供帮助。你可以从各种演示类型中进行选择，包括通用场景、教育、销售和会议，选择幻灯片数量，其人工智能工具便可以帮助你完成所有的PPT设计和制作工作。"
SheetGod,BoloForms推出的AI Excel公式生成工具
Rows,集成了AI功能的在线表格处理工具
Rossum.ai,现代化的AI文档处理工具
PandaGPT,AI文档要点总结工具
ChatDOC,基于ChatGPT的文档阅读、提取、总结、摘要的工具
Ayoa Ultimate,AI思维导图和头脑风暴工具
博思AI白板,国内知名在线白板工具博思Boardmix推出Al白板功能，生成式AIGC创作模式，实现A智能问答、A智能写作、A绘制思维导图等内容生成能力，释放无尽可能。
Miro AI,在线白板协作工具推出的AI功能，Beta测试中
AmyMind,"<div class=""panel-body single my-4 "">

AmyMind是一个轻量小巧的在线AI思维导图工具，无需登录、注册、下载安装，在线打开即用，选中相应节点后鼠标右键便可AI自动生成同级节点或子节点。AmyMind支持多种文件格式，导入freemind格式、markdown文件，导出为Word、PNG、freemind和markdown文件。

<a class=""js"" href=""https://ai-bot.cn/wp-content/uploads/2023/03/amymind-screenshot.png"" data-fancybox=""fancybox"" data-caption=""""><img class=""alignnone size-full wp-image-370"" src=""http://ai.thinkgs.cn/wp-content/uploads/2023/08/amymind-screenshot.png"" alt="""" width=""800"" height=""418"" /></a>

</div>"
Noty.ai,ChatGPT驱动的AI会议转录工具
Fireflies.ai,AI会议转录和会议纪要生成工具
Khroma,AI调色盘生成工具
Logomaster.ai,AI Logo生成工具
HTTPie AI,AI API开发工具
Hocoos,"Hocoos是基于人工智能的网站设计领域的领导者，于4月推出了强大的A网站生成器。使用最先进的算法，Hocoos 人工智能网站建设在几分钟内便可以创建个性化网站，无需用户具备编程知识。

Hocoos推出的Al网站生成器，可在几分钟内创建个人和商业网站。用户只需回答8个问题，即可指导Hocoos Al 为任何品牌设计一个具有引人注目的设计和内容的个性化网站。人工智能网站生成器会自动生成书面和视觉内容，可以通过简单易用的设计界面轻松编辑。

凭借先进的人工智能技术，Hocoos首次允许在几分钟内创建个人和商业网站，该工具已经在各种行业中进行了测试，可以在几分钟内为美容保健、体育健身、电子商务、摄影、商业和金融等多个行业的品牌建立网站。"
通义听悟,"<div class=""panel-body single my-4 "">

通义听悟是阿里巴巴推出的智能AI会议转录和总结工具，支持实时双语翻译字幕，一键高亮要点，智能提炼总结，高效记录、整理和共享音视频内容。多种字幕形态随心切换，自动区分发言人，总结关键词、议程、摘要、待办事项和问题。支持一键导出和公开分享。

丰富场景，皆可听悟——
<ul>
 	<li>线上会议：清晰记录沟通细节，智能总结待办、议程，会议信息无损传递</li>
 	<li>面试访谈：自动记录会话内容，智能总结问答、摘要，总结整理高效轻松</li>
 	<li>课程学习：双语课程完整记录，自动提取要点、问答，随时回顾知识点</li>
 	<li>视频浏览：实时双语翻译字幕，英文视频随心看，信息获取更高效</li>
</ul>
2023年6月1日-6月30日为通义听悟公测期。公测期内，包括全文概要、章节速览、发言总结等高阶AI能力在内的全部功能，用户无需申请和排队即可马上体验。同时官网还提供了丰富的权益活动，使用户能够获取更多使用时长。

</div>"
Notta,Notta是一个基于人工智能的语音转文本转录工具，可以帮助你以98%的准确率将104种语言的任何音频转换为文本。Notta适用于任何现代设备，如PC、智能手机和平板电脑，无论你是想从麦克风转录在线会议、网页音频、音频文件还是现场录音，Notta都可以处理。如果你正在寻找一种可靠且专业的工具来将音频在线转录为文本，试试用Notta来制作会议记录和撰写采访文章吧，让你的工作更轻松。
WellSaid Labs,AI文本转语音工具
Voicemod,AI变声工具
对话写作猫,秘塔写作猫推出的AI对话聊天工具
百度AI同传助手,中英文音视频同传字幕工具
搜狗翻译,搜狗翻译是搜狗旗下推出的A智能翻泽工具，可支持中、英、法、日等50多种语言之间的互泽功能，为用户即时免费提供字词、短语、文本翻译服务。
AI Content Detector,Writer推出的AI内容检测工具
词魂,词魂是一个AIGC精品提示词库，你可以在这里找到各类用于A绘画的提示词和咒语，帮助你更好的使用Al工具，快速得到想要的效果，提升工作效率。如果你是一位优秀的提示词创作者，你还可以在这里销售自己的提示词。
Evidently AI,开源的机器学习模型监测和测试工具
Lobe,简单免费的机器学习模型训练工具
Leap,"<div class=""panel-body single my-4 "">

Leap 提供简单易用的API和SDK，帮助开发人员在几分钟内将人工智能添加到自己的应用程序中，如生成图像、编辑图像、微调模型、检索文本上下文等。

Leap 可以在不编写/少量编写代码的情况下与5000多个应用程序集成。该工具提供Javascript、Python和cURL的API，用户可以通过注册免费试用帐户来试用Leap的功能。
<h2>Leap的特色功能</h2>
<ol>
 	<li>多合一AI功能的API。一个平台的API，用于图像、文本、视频等AI功能实现，无需在单个API之间切换。</li>
 	<li>内置测试和试玩工作台。在浏览器中使用Leap提供的人工智能模型，然后再将其集成到自己的应用程序中。</li>
 	<li>与任何应用程序集成。通过提供的Zapier集成，无需编程，便可以将Leap连接到3000多个应用程序。</li>
 	<li>微调训练自定义模型。使用其Dreambooth微调仪表板和API，可训练自定义的模型，无论是人、宠物、对象或自定义风格。</li>
</ol>
<h2>Leap的产品价格</h2>
Leap 的产品定价很简单，提供免费的基础套餐和付费套餐允许用户访问其他高级功能、无限制使用和访问高级队列。
<ul>
 	<li class=""heading-text"">免费套餐
<ul>
 	<li>图像生成：在标准队列中生成 100 张图像。</li>
</ul>
</li>
 	<li class=""heading-text"">付费套餐
<ul>
 	<li>图像生成：每张图像支付 0.005 美元（高级队列）。</li>
 	<li>模型微调：为每个经过训练的模型版本支付 2 美元（高级队列）</li>
 	<li>混合图像：每张图片支付 0.01 美元（高级队列）</li>
</ul>
</li>
</ul>
</div>"
LangChain,"<div class=""panel-body single my-4 "">

<a href=""https://ai-bot.cn/what-is-large-language-model/"">大语言模型（LLM）</a>正在成为一种变革性技术，使开发人员能够构建以前无法构建的应用程序。但是，单独使用这些LLM通常不足以创建一个真正强大的应用程序——当你可以将它们与其他计算或知识来源相结合时，便可能实现其真正的能力。

LangChain是一个用于开发由语言模型驱动的应用程序的框架，允许开发人员将语言模型连接到其他数据源并与其环境相交互。LangChain旨在帮助开发者在以下六个主要领域，按照复杂性递增的顺序：
<ul>
 	<li>📃 LLMs and Prompts: 这包括提示管理、提示优化、适用于所有 LLM 的通用界面以及用于处理 LLM 的通用实用程序。</li>
 	<li>🔗 Chains: 链不仅仅是单个 LLM 调用，而是调用序列（无论是对 LLM 还是对不同的实用程序）。 LangChain 为链提供标准接口、与其他工具的大量集成以及用于常见应用程序的端到端链。</li>
 	<li>📚 Data Augmented Generation: 数据增强生成涉及特定类型的链，这些链首先与外部数据源交互以获取数据以用于生成步骤。 这方面的例子包括对长文本的总结和对特定数据源的问答。</li>
 	<li>🤖 Agents: 代理涉及 LLM 做出关于采取哪些行动的决定，采取该行动，看到一个观察，并重复直到完成。LangChain 为代理提供了一个标准接口，可供选择的代理选择，以及端到端代理的示例。</li>
 	<li>🧠 Memory: 内存是链/代理调用之间持久状态的概念。 LangChain 提供了内存的标准接口、内存实现的集合以及使用内存的链/代理的示例。</li>
 	<li>🧐 Evaluation: [BETA] 众所周知，生成模型很难用传统指标进行评估。 评估它们的一种新方法是使用语言模型本身进行评估，LangChain 提供了一些提示/链来协助这一点。</li>
</ul>
</div>"
NLTK,NLTK(Natural Language Tookit)自然语言工具包——是一套开源Python模块、数据集和教程，支持自然语言处理的研究和开发。NLTK需要Python版本3.7.3.8、3.9、3.10或3.11。
6pen Art,"<div class=""panel-body single my-4 "">

6pen Art 是一个基于 AI 驱动的技术，利用文本生成绘画作品的<a href=""https://ai-bot.cn/best-ai-image-generators/"">AI图像生成工具</a>。用户可以通过文字描述画面内容和风格，就可以得到和生成天马行空，令人惊艳的作品和画面（最高支持4K分辨率）。用户可以通过在线网站、iOS或Android应用程序访问并使用6pen Art。
<h2>6pen Art 的主要功能</h2>
<ul>
 	<li>不同风格的图像生成。6pen Art 支持用户通过纯文字输入或参考图生成不同风格的艺术画图像，如人像、CG渲染、赛博朋克、动画动漫、肖像画、简笔画等等任何风格和题材。</li>
 	<li>易于使用。任何人都可轻易使用的 6pen Art 的 AI技术，将你的绝妙想法快速转化成看得见的图像，并在6pen社区中获得展示，点赞和更多潜在收益</li>
 	<li>提供多种模型。DiscoDiffusion, StableDiffusion，以及6pen自研小模型，未来还将支持更多模型，为用户提供丰富的生成选择</li>
 	<li>支持中文。支持中文提示和描述（prompt），上手更容易，当然英文也没问题</li>
 	<li>不保留版权。6pen 不保留版权，由你用户成出的作品，如无特殊情况，版权都归属于生成者或CC0协议。自用，商用，当头像用，随意怎么用。</li>
</ul>
<h2>如何使用 6pen Art 生成AI图像</h2>
登录/注册 6pen Art 后，自动会进入工具台，点击页面下方的圆形<strong>+</strong>按钮，进入任务创建页面，填写：
<ul>
 	<li>画面描述</li>
 	<li>画面类型</li>
 	<li>风格修饰/艺术家</li>
 	<li>模型选择</li>
 	<li>通道选择</li>
</ul>
如果你选择西瓜模型，则还可以配置分辨率和参考图的选项。

根据以上的选择，6pen Art 会自动计算出消耗的点数，点击「生成」按钮，即可创建一个AI图像生成任务。
<h2>6pen Art 的产品价格</h2>
6pen Art 在充分满足用户的使用需求的同时，提供了两种明确清晰且透明的定价计划，以更好的为 AI 艺术家们提供服务，即「免费通道」和「Pro通道」。
<ul>
 	<li>对于免费通道，用户可以每天免费使用西瓜模型(无论大小)5次，南瓜模型和Stable Diffusion模型次数无限制，其中大西瓜模型因过于耗时而限制了生成图片的尺寸，小西瓜不受影响。</li>
 	<li>对于Pro付费通道，用户的等待时间较短，每次生成图片则会消耗对应的点数（5 元 20点数，30 元 200点数，100 元 800点数，500 元 5000 点数），不同模型和不同分辨率的图片会消耗不同的点数，
<ul>
 	<li>南瓜模型：2点数</li>
 	<li>西瓜模型：8点数</li>
 	<li>西瓜模型(大模型版)：12点数</li>
 	<li>西瓜模型(人像优化版)：6点数</li>
 	<li>Stable Diffusion 模型：2点数</li>
</ul>
</li>
</ul>
<h2>常见问题</h2>
6pen Art 由哪家公司开发？

6pen Art 是由北京毛线球科技有限公司（面包多背后的团队）于 2022 年 4 月推出的一个在线的AI图片生成工具，累计已经为超过 100 万用户生成过上亿张好看的图片。

6pen Art 是免费的吗？

6pen Art 的免费通道可供用户每日生成有限次数的AI图片，等待时间在20秒到12分钟之间，用户通过成为认证创作者和邀请其他用户，可以获得免费赠送的额外点数。

6pen Art 生成的图片版权归属？
<div data-page-id=""doxcnmWzSJih4xKZwePFuOGfqke"" data-docx-has-block-data=""false"">
<div class=""ace-line ace-line old-record-id-doxcna4uUYWWKECiAvfKCd8Uvbt"">6pen Art 使用的 南瓜、西瓜模型，都采用 MIT 协议开源，在此基础上进行了深度定制，并将生成出来的图片版权，完全授权给生成者本人，这意味着，由你生成的图片，如无意外情况，版权都归属于你。</div>
</div>
</div>"
堆友AI反应堆,"<div class=""panel-body single my-4 "">

堆友是阿里巴巴设计师团队原创的一个免费可商用3D头像、3D场景、3D元素等的资源网站和在线编辑神器，近期堆友上线了「AI反应堆」功能，帮助设计师、画手、大学生、兴趣爱好者快速生成高质量绘画，支持文生图、图生图和创作社区同款。
<h2>堆友AI反应堆的特色功能</h2>
<ul>
 	<li>大厂匠心出品：阿里设计师和开发团队精心打造的多风格AI绘画生成器</li>
 	<li>零门槛可创作：无需绘画技能，也能轻松创作出与众不同的艺术作品</li>
 	<li>免费轻松生成：只需一键操作，即可免费生成惊艳绘画作品</li>
 	<li>风格多元供需：从抽象到写实，多款风格任你选择，满足不同创作需求</li>
 	<li>AIGC大佬力荐 ：靠谱的轩轩、DynamicWang等AIGC行业大咖强烈推荐的AI绘画工具，让你的创意无限释放</li>
</ul>
<a class=""js"" href=""https://ai-bot.cn/wp-content/uploads/2023/07/d-design-ai-steps.jpeg"" data-fancybox=""fancybox"" data-caption=""堆友AI反应堆生成绘画""><img class=""alignnone size-full wp-image-503"" src=""http://ai.thinkgs.cn/wp-content/uploads/2023/08/d-design-ai-steps.jpeg"" alt="""" width=""800"" height=""450"" /></a>
<h2>如何使用堆友AI反应堆？</h2>
<ol>
 	<li>访问堆友AI反应堆的官网，点击开始创作按钮</li>
 	<li>进入到作图界面后，选择模型风格、输入画面描述</li>
 	<li>调节画面、图片比例、生成张数等参数</li>
 	<li>然后点击立即生成按钮即可</li>
</ol>
<h2>堆友AI反应堆是免费的吗？</h2>
堆友AI反应堆目前来说是免费有限使用的，暂没有推出充值选项。堆友AI反应堆每次生成图片需要消耗一定数量的堆豆，标准尺寸的单张绘画生成，需要消耗5堆豆。通过堆友赠送的堆豆，已经够免费生成几十张图片了。
<ul>
 	<li>新用户首次登录/注册后堆友会免费赠送50堆豆</li>
 	<li>每日登录会赠送50堆豆</li>
 	<li>关注公众号会赠送20堆豆</li>
 	<li>邀请好友每邀请一位赠送50堆豆</li>
 	<li>收藏网址到书签栏赠送50堆豆</li>
 	<li>完善个人信息可获得20堆豆。</li>
</ul>
<h2>堆友可以生成哪些风格的绘画？</h2>
堆友AI反应堆目前支持生成怀旧日漫、厚涂插画、等距景观、赛博朋克、场景插画、风光摄影、清新写真、CG人物、水彩等风格的绘画，也会根据你输入的画面描述智能推荐和匹配。

</div>"
WHEE,"<div class=""panel-body single my-4 "">

WHEE是美图基于其视觉大模型MiracleVision最新推出的AI图片和绘画创作平台，该<a href=""https://ai-bot.cn/best-ai-image-generators/"">AI图片生成工具</a>支持多种模式的图片创作，包括文生图、图生图、风格模型训练和创作提示词库。
<h2>WHEE的主要功能</h2>
<ol>
 	<li>AI文生图。用户只需输入提示词，AI便会帮你生成想要的画面。用户还可以选择和调整画面风格、画面尺寸、生成数量等参数。</li>
 	<li>AI图生图。用户可以导入照片，在AI的帮助下将上传的图片转换成不同的风格。</li>
 	<li>风格模型训练。WHEE还支持自定义训练自己的专属风格模型，该功能需要加入到内测中。</li>
 	<li>AI创作词库。WHEE提供了一个中英文的提示词助手，帮助你精准匹配风格词，更加精确地生成满足自己需求的画面。</li>
</ol>
<h2>如何使用WHEE生成图片</h2>
<ol>
 	<li>访问WHEE的官网whee.com，选择文生图或者图生图（注意：请使用国内的网络访问，否则WHEE的网页可能会显示空白）</li>
 	<li>登录/注册你的美图账号，登录成功后会自动跳转到AI创作界面</li>
 	<li>在左边输入你的创意描述，并调整相应的选项和参数</li>
 	<li>最后点击立即生成的按钮，等待生成完毕即可</li>
</ol>
<a class=""js"" href=""https://ai-bot.cn/wp-content/uploads/2023/06/whee-demo.png"" data-fancybox=""fancybox"" data-caption=""WHEE生成图片""><img class=""alignnone size-full wp-image-506"" src=""http://ai.thinkgs.cn/wp-content/uploads/2023/08/whee-demo.png"" alt="""" width=""800"" height=""491"" /></a>

</div>"
简单AI,"<div class=""panel-body single my-4 "">

简单AI是搜狐最新推出的智能图片生成平台和社区，是一个适合小白直接上手的<a href=""https://ai-bot.cn/best-ai-image-generators/"">AI图片生成工具</a>，提供文生图和图生图两种模式，上手简单，且生成质量较好。目前，用户可以通过简单AI每日免费生成 10 张图片。同时，该平台还提供用户作品分享社区、创作同款、提示词参考等功能。
<h2>简单AI的产品功能</h2>
<ol>
 	<li>内置多个主体对象的模板，包括人物头像、美女帅哥、艺术流派、动物、风景等</li>
 	<li>提供多种画风生成渲染，包括迪士尼、二次元、手绘、水彩、古风、毕加索、赛博朋克等</li>
 	<li>支持中英文描述，使用短的词语、英文描述效果更佳</li>
 	<li>灵活多样的设置选项，可以设置尺寸比例、参考图、数量等</li>
</ol>
<a class=""js"" href=""https://ai-bot.cn/wp-content/uploads/2023/08/ai-sohu-screenshot.png"" data-fancybox=""fancybox"" data-caption=""搜狐简单AI""><img class=""alignnone size-full wp-image-509"" src=""http://ai.thinkgs.cn/wp-content/uploads/2023/08/ai-sohu-screenshot.png"" alt="""" width=""800"" height=""450"" /></a>
<h2>如何使用简单AI生成图片</h2>
<ol>
 	<li>访问简单AI的官网，点击顶部菜单栏的生成图片选项</li>
 	<li>进入操作界面，选择内置的模板，输入图片描述</li>
 	<li>可选择上传参考图、尺寸比例和图片数量</li>
 	<li>设置完毕后点击蓝色的生成图片按钮即可</li>
</ol>
</div>"
美图AI文生图,"<div class=""panel-body single my-4 "">

美图AI文生图原是由美图创意平台推出的<a href=""https://ai-bot.cn/best-ai-image-generators/"">AI图像创作工具</a>，现已集成到<a href=""https://ai-bot.cn/sites/2400.html"">美图设计室</a>中，用户只需输入文字创意描述，并选择自己喜欢的模型风格，点击立即生成即可获得由美图AI创作的一幅画作。
<h2>美图AI文生图的主要功能</h2>
<ol>
 	<li>通过文本描述快速生成高质量图片和插画，无需复杂的语句，用户只需用简明扼要的词语组合对所要展示的创意进行描绘，如：“中国山水画，群山耸立，云雾缭绕”。</li>
 	<li>内置多种模型风格，满足不同画风的需求，包括万物二次元、至臻风光、游戏CG、国风少年、古早海报、概念设计、质感游戏、写实真人、精美动漫、音画视觉、冰与火、灵瞳、童趣3D、平涂日漫等风格。</li>
 	<li>灵活的参数设定，用户可选择图片的尺寸和比例（常见的如1:1、2:3、3:4、9:16、3:2、4:3、16:9等），也可以自定义像素宽高和生成的张数。</li>
</ol>
<h2>如何使用美图AI文生图</h2>
<ol>
 	<li>点击上方的访问官网按钮，或者在「美图设计室」的首页点击AI文生图（注意：请使用国内的网络访问，否则网页可能会显示空白）</li>
 	<li>登录或注册你的美图账号</li>
 	<li>在左侧的区域描述你的创意、选择你感兴趣的模型风格（如二次元、游戏CG、国风、动漫、写实真人等风格）</li>
 	<li>设定画面尺寸比例和像素大小，并输入生成的图片张数</li>
 	<li>最后点击蓝色的立即生成按钮即可</li>
</ol>
<a class=""js"" href=""https://ai-bot.cn/wp-content/uploads/2023/05/meitu-aigc-features.png"" data-fancybox=""fancybox"" data-caption=""如何使用美图AI文生图""><img class=""alignnone size-full wp-image-512"" src=""http://ai.thinkgs.cn/wp-content/uploads/2023/08/whee-demo-1.png"" alt="""" width=""800"" height=""491"" /></a>

</div>"
创客贴AI画匠,"创客贴A画匠是在线平面设计创作神器「创客贴」推出的在线A艺术画生成工具，用户只需输入关键词，便可以生成精美的插画，CG、彩绘、国画，油画等多样的画面风格自由生成，灵活多变。

只需要输入一段带有画面描述特征的的文本并选择想要的尺寸，就可以一键生成图片。模型生成的图统一遵循CCO 1.0规则，用户可用作素材、海报、头像、壁纸等。"
